question,answer
72+57+30=,159
57+36+53=,146
90+22+62=,174
87+40+49=,176
89+12+24=,125
64+18+49=,131
68+67+34=,169
91+55+87=,233
34+61+50=,145
85+97+47=,229
61+63+80=,204
86+29+86=,201
82+96+53=,231
26+51+53=,130
47+44+27=,118
41+51+41=,133
76+75+86=,237
83+50+21=,154
74+80+50=,204
59+40+39=,138
40+44+88=,172
38+54+47=,139
45+43+53=,141
48+56+42=,146
27+33+98=,158
46+81+36=,163
63+44+58=,165
34+28+16=,78
33+90+12=,135
31+92+76=,199
31+22+90=,143
97+72+43=,212
39+67+48=,154
82+69+56=,207
62+81+32=,175
13+44+69=,126
35+26+14=,75
15+22+70=,107
32+28+33=,93
88+70+93=,251
55+77+67=,199
72+59+34=,165
51+58+97=,206
83+12+39=,134
47+55+19=,121
75+21+60=,156
12+45+90=,147
56+71+11=,138
97+67+43=,207
29+55+72=,156
84+32+67=,183
63+39+60=,162
92+31+35=,158
16+51+15=,82
24+20+30=,74
16+68+16=,100
49+85+13=,147
22+18+42=,82
67+32+65=,164
54+55+64=,173
39+96+38=,173
58+10+35=,103
39+49+17=,105
14+50+86=,150
88+57+97=,242
46+72+39=,157
48+71+43=,162
85+16+89=,190
88+22+11=,121
24+78+11=,113
49+11+92=,152
14+94+34=,142
81+99+68=,248
53+60+97=,210
44+30+21=,95
43+41+38=,122
28+60+81=,169
44+80+76=,200
20+25+89=,134
83+89+66=,238
28+65+47=,140
20+28+77=,125
59+32+93=,184
10+20+75=,105
21+57+37=,115
83+40+61=,184
37+10+36=,83
67+18+96=,181
72+54+46=,172
80+53+38=,171
58+44+24=,126
78+28+11=,117
75+98+20=,193
99+96+25=,220
90+23+23=,136
41+54+23=,118
46+27+64=,137
93+75+54=,222
79+77+61=,217
43+39+61=,143
81+79+52=,212
68+24+68=,160
16+93+51=,160
92+22+73=,187
69+15+50=,134
92+72+96=,260
80+88+14=,182
74+85+20=,179
54+62+28=,144
29+60+97=,186
17+10+73=,100
16+90+13=,119
53+19+75=,147
73+93+90=,256
37+56+42=,135
51+87+84=,222
58+70+84=,212
39+51+71=,161
46+21+61=,128
75+99+84=,258
32+88+97=,217
75+43+70=,188
60+81+67=,208
40+86+73=,199
43+88+74=,205
69+87+56=,212
93+42+60=,195
87+40+81=,208
17+89+59=,165
87+60+82=,229
61+91+64=,216
79+92+31=,202
60+35+15=,110
11+63+23=,97
63+45+91=,199
21+18+37=,76
59+32+25=,116
29+98+49=,176
24+88+10=,122
27+45+69=,141
46+65+65=,176
